LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
37.2329,72.5215,59.2,5,4/25/2002,46:02.5
29.8564,88.0622,10.5,5,8/31/2002,40:33.6
35.3936,74.7475,36,5,11/20/2002,44:00.0
35.2279,74.6057,27,5,12/19/2002,21:36.0
29.8522,88.0952,17.3,5,1/16/2003,36:51.6
30.4676,79.311,24.4,5,5/27/2003,23:29.2
34.5699,73.136,21,5,10/8/2005,07:48.6
34.802,73.208,13.9,5,10/8/2005,21:52.9
34.6514,73.0097,21,5,10/8/2005,10:06.0
34.6229,73.3527,7.7,5,10/8/2005,04:26.8
34.6313,73.2707,21,5,10/8/2005,53:40.1
34.7743,73.1274,22.4,5,10/9/2005,58:56.7
34.5489,73.3825,22,5,10/9/2005,22:35.2
34.7653,73.2183,16.4,5,10/9/2005,38:15.2
34.8146,73.0725,21.6,5,10/10/2005,38:14.2
34.893,73.1491,13,5,10/14/2005,37:42.4
34.0158,73.9413,13.3,5,10/15/2005,32:21.4
34.8543,73.2021,14.4,5,10/17/2005,43:09.1
34.8123,73.0815,24,5,10/19/2005,47:29.9
34.7974,73.1813,14.3,5,12/1/2005,38:27.9
34.6701,73.4064,14.6,5,12/28/2005,04:30.8
34.7135,73.247,13,5,2/2/2006,49:01.7
34.6323,73.2544,11.6,5,3/19/2006,49:00.7
33.0732,76.1813,45.4,5,5/26/2006,41:39.0
27.2918,88.2379,10.3,5,5/20/2007,18:16.9
30.8576,78.2844,27.1,5,7/22/2007,02:15.7
27.3474,87.6847,17.8,5,8/11/2007,35:52.5
29.7641,90.4325,7,5,10/6/2008,45:10.2
29.712,90.3463,8,5,10/6/2008,17:11.0
33.2061,75.8524,26.9,5,5/19/2009,29:49.9
36.2261,72.2056,97.4,5,4/25/2011,54:33.6
33.068,76.8482,23.9,5,8/23/2011,22:57.4
28.7746,76.6928,11.5,5,3/5/2012,41:04.4
28.7098,82.2897,19.7,5,6/28/2013,40:48.8
32.6902,78.2044,35,5,7/9/2013,49:17.9
28.8557,82.359,22.7,5,4/21/2015,02:17.2
27.8287,85.455,18,5,4/25/2015,22:23.3
27.699,85.5783,15.6,5,4/25/2015,25:56.0
27.8734,85.5984,10.1,5,4/25/2015,47:01.6
27.3792,86.2416,19,5,5/12/2015,23:32.8
33.9175,73.1384,14.9,5,7/24/2015,59:53.3
27.7947,85.6871,10.4,5,11/19/2015,15:51.8
27.9582,84.717,13.8,5,2/21/2016,10:00.3
28.3812,87.5079,16,5,5/22/2016,48:48.7
34.7608,72.8081,30.2,5,6/12/2019,10:27.4
33.2893,75.636,19.5,5,1/11/2021,02:04.0
28.7477,87.4086,11.5,5,2/2/2021,31:14.3
28.7644,87.3658,9,5,2/4/2021,06:23.5
27.6062,92.6304,25.9,5,3/26/2021,02:07.3
29.2382,94.1867,23.9,5,1/17/2022,59:25.1
